"full_name","a","e","i","om","w","q","ad","period","H","diameter","ma","tp"
"206378 (2003 RB)",1.788,0.4389,6.72,317.13,44.07,1.003,2.57,2.39,18.76,0.376,287.00,2460777.62
"206910 (2004 NL8)",2.574,0.7156,5.02,150.90,278.14,0.732,4.42,4.13,17.28,,302.11,2460843.05
"207398 (2006 AS2)",2.091,0.6419,2.60,125.63,80.07,0.749,3.43,3.02,20.38,,49.89,2460447.48
"207945 (1991 JW)",1.039,0.1186,8.71,53.85,301.95,0.916,1.16,1.06,19.60,0.423,92.10,2460501.52
"208023 (1999 AQ10)",0.9338,0.2354,6.50,326.97,300.57,0.714,1.15,0.902,20.52,,33.11,2460570.18
"208115 (2000 CT101)",1.299,0.3547,23.30,135.55,292.43,0.838,1.76,1.48,20.84,,278.65,2460722.74
"212546 (2006 SV19)",2.133,0.5152,7.35,116.20,182.55,1.034,3.23,3.11,17.72,,317.31,2460735.39
"214869 (2007 PA8)",2.849,0.6530,2.00,141.30,293.85,0.989,4.71,4.81,16.51,,175.77,2459742.82
"215588 (2003 HF2)",1.114,0.6755,3.06,189.88,231.04,0.361,1.87,1.18,19.42,0.488,195.33,2460796.93
"216115 (2006 SU19)",1.527,0.5864,2.09,152.22,10.63,0.632,2.42,1.89,18.94,,92.91,2460422.62
"216258 (2006 WH1)",1.671,0.4849,2.63,240.31,263.68,0.861,2.48,2.16,20.33,,65.58,2460456.71
"216523 (2001 HY7)",0.9136,0.4122,5.21,205.05,211.33,0.537,1.29,0.873,20.70,,90.01,2460520.75
"216985 (2000 QK130)",1.181,0.2620,4.72,173.81,66.40,0.871,1.49,1.28,21.34,,358.14,2460602.93
"217430 (2005 SN25)",1.23,0.2706,13.01,168.27,45.20,0.897,1.56,1.36,19.64,,121.18,2460432.76
"217628 Lugh (1990 HA)",2.527,0.7115,4.44,177.75,316.15,0.729,4.33,4.02,16.68,1.4,160.51,2459946.22
"220839 (2004 VA)",1.901,0.5949,3.69,109.45,43.48,0.770,3.03,2.62,17.46,,180.72,2461077.16
"221455 (2006 BC10)",2.017,0.6577,0.92,21.04,234.30,0.691,3.34,2.87,19.52,,142.51,2460186.23
"221980 (1996 EO)",1.342,0.4008,21.59,356.46,64.69,0.804,1.88,1.55,19.11,0.432,213.52,2460831.45
"226514 (2003 UX34)",1.095,0.6159,2.56,4.30,218.58,0.421,1.77,1.15,20.20,,241.15,2460738.71
"226554 (2003 WR21)",1.118,0.2615,9.27,85.76,108.11,0.826,1.41,1.18,19.62,0.482,123.09,2460452.81
"228368 (2000 WK10)",1.479,0.7020,14.73,57.93,244.51,0.441,2.52,1.8,18.63,,150.90,2460325.13
"230111 (2001 BE10)",0.8231,0.3692,17.51,297.75,30.60,0.519,1.13,0.747,19.28,,42.21,2460568.52
"230549 (2003 BH)",1.457,0.3561,13.11,119.76,313.41,0.938,1.98,1.76,20.78,0.217,158.58,2460317.65
"231937 (2001 FO32)",1.699,0.8258,39.01,181.71,123.36,0.296,3.10,2.21,17.58,0.55,202.09,2460955.29
"232691 (2004 AR1)",1.576,0.4695,9.08,336.51,50.31,0.836,2.32,1.98,19.86,,206.69,2460908.24
"234145 (2000 EW70)",0.9376,0.3213,5.43,178.03,125.77,0.636,1.24,0.908,21.58,0.344,294.52,2460660.81
"235756 (2004 VC)",1.133,0.2589,39.15,194.16,94.18,0.840,1.43,1.21,18.58,1.136,257.83,2460725.57
"242216 (2003 RN10)",2.233,0.5407,39.66,267.16,4.73,1.025,3.44,3.34,15.61,,128.79,2460164.54
"242450 (2004 QY2)",1.084,0.4772,37.03,295.27,104.98,0.567,1.60,1.13,14.65,2.914,234.73,2460743.93
"242643 (2005 NZ6)",1.833,0.8652,8.41,38.79,48.96,0.247,3.42,2.48,17.38,1.989,237.52,2460909.01
"242708 (2005 UK1)",2.501,0.6953,0.79,180.30,345.94,0.762,4.24,3.95,18.12,,238.37,2461088.55
"243566 (1995 SA)",2.463,0.6420,19.58,169.02,54.30,0.882,4.05,3.87,17.37,0.881,255.75,2461009.46
"244977 (2004 BE68)",1.761,0.4446,15.74,210.88,191.28,0.978,2.54,2.34,18.48,0.495,343.49,2460639.64
"247360 (2001 XU)",2.573,0.8366,19.07,260.98,286.06,0.420,4.73,4.13,19.36,,181.52,2461347.99
"250620 (2005 GE59)",2.109,0.6025,16.08,194.74,243.02,0.838,3.38,3.06,18.07,0.654,196.79,2461107.67
"250680 (2005 QC5)",0.893,0.3645,9.45,48.05,108.72,0.568,1.22,0.844,19.63,0.398,64.80,2460545.02
"250706 (2005 RR6)",2.957,0.7011,6.93,27.27,59.96,0.884,5.03,5.09,18.55,0.535,258.29,2461125.23
"251346 (2007 SJ)",2.015,0.5332,8.18,306.76,175.25,0.940,3.09,2.86,16.89,,271.06,2460858.55
"251722 (1997 US2)",1.675,0.6608,3.17,65.89,100.33,0.568,2.78,2.17,19.82,,115.60,2460346.26
"252399 (2001 TX44)",0.8748,0.5459,15.21,57.76,136.04,0.397,1.35,0.818,19.41,0.291,262.54,2460681.40
"253841 (2003 YG118)",2.28,0.6461,8.03,347.42,233.54,0.807,3.75,3.44,17.28,,330.41,2460703.85
"255071 (2005 UH6)",1.001,0.6325,2.64,19.29,200.25,0.368,1.63,1,18.36,,53.56,2460546.06
"260141 (2004 QT24)",1.133,0.2519,17.75,36.10,76.64,0.847,1.42,1.21,18.31,,130.60,2460440.73
"263976 (2009 KD5)",1.046,0.2615,13.47,104.49,294.37,0.773,1.32,1.07,18.40,0.785,26.87,2460571.33
"264357 (2000 AZ93)",0.7469,0.3600,8.59,277.30,8.17,0.478,1.02,0.645,21.17,0.113,311.13,2460632.51
"264993 (2003 DX10)",1.375,0.4108,3.15,61.75,194.06,0.810,1.94,1.61,20.42,,95.46,2460444.36
"265196 (2004 BW58)",1.455,0.3787,15.21,132.61,301.85,0.904,2.01,1.75,18.84,0.361,328.22,2460657.08
